id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
5,4.8,-gneE49_0,6.6,0,-0.2,21.2,-gneE48_0,85.6,13.52,16.4,179,0,0,0,3.49,0,tripinfo_5 routing_5,bus,1,
8,8,-gneE26_0,6.6,0,0,26.4,gneE2_0,85.6,13.44,18.4,178.79,0,0,0,4.59,0,tripinfo_8 routing_8,bus,1,
3,2.8,gneE3_0,6.6,0,-0.2,28.8,gneE5_0,85.6,13.83,26,273.63,0,0,0,5.3,1,tripinfo_3 routing_3,bus,1,
6,6,gneE45_0,6.6,0,0,41.6,-gneE38_0,89.6,13.72,35.6,377.42,0,0,0,6.85,1,tripinfo_6 routing_6,bus,1,
0,0,-gneE33_0,6.6,0,0,44.8,-gneE42_0,89.6,13.76,44.8,477.21,0,0,0,8.27,1,tripinfo_0 routing_0,bus,1,
7,6.8,-gneE50_0,6.6,0,-0.2,46.4,-gneE14_0,85.6,13.59,39.6,373.42,0,0,0,11.13,1,tripinfo_7 routing_7,bus,1,
2,2,gneE32_0,6.6,0,0,48.8,-gneE33_0,85.6,13.37,46.8,464.23,0,0,0,10.73,1,tripinfo_2 routing_2,bus,1,
13,12.8,gneE14_0,6.6,0,-0.2,50,-gneE46_0,85.6,7.29,37.2,378.79,0,0,0,9.16,1,tripinfo_13 routing_13,bus,1,
9,8.8,-gneE44_0,6.6,0,-0.2,54.8,gneE33_0,85.6,13.45,46,467.84,0,0,0,9.16,1,tripinfo_9 routing_9,bus,1,
15,14.8,-gneE14_0,6.6,0,-0.2,58.8,-gneE12_0,85.6,13.42,44,462.89,0,0,0,8.64,1,tripinfo_15 routing_15,bus,1,
29,28.8,gneE2_0,5.1,0,-0.2,61.2,-gneE6_0,85.6,15.47,32.4,374.92,0,0,0,6.8,1,tripinfo_29 routing_29,DEFAULT_VEHTYPE,1.12,
53,52.8,gneE41_0,5.1,0,-0.2,62,gneE41_0,89.6,15.96,9.2,84.5,0,0,0,4,1,tripinfo_53 routing_53,DEFAULT_VEHTYPE,1.18,
10,10,gneE31_0,6.6,0,0,62.4,gneE42_0,89.6,13.51,52.4,579.92,0,0,0,8.48,1,tripinfo_10 routing_10,bus,1,
35,36.8,gneE31_0,5.1,0,1.8,66.8,gneE15_0,85.6,16.01,30,275.13,0,0,0,12.14,1,tripinfo_35 routing_35,DEFAULT_VEHTYPE,1.16,
1,0.8,gneE51_0,6.6,0,-0.2,68.8,gneE35_0,85.6,13.66,68,757.52,0,0,0,10.47,1,tripinfo_1 routing_1,bus,1,
43,42.8,-gneE46_0,5.1,0,-0.2,71.6,gneE40_0,85.6,12.98,28.8,274.92,0,0,0,6.36,1,tripinfo_43 routing_43,DEFAULT_VEHTYPE,0.95,
12,14,-gneE3_0,6.6,0,2,74,-gneE41_0,89.6,13.54,60,664.44,0,0,0,10.34,1,tripinfo_12 routing_12,bus,1,
14,14,gneE26_0,6.6,0,0,75.2,-gneE4_0,85.6,13.65,61.2,567.84,0,0,0,17.07,1,tripinfo_14 routing_14,bus,1,
34,34,gneE43_0,5.1,0,0,80.8,gneE27_0,89.6,12.5,46.8,473.55,0,0,0,7.61,1,tripinfo_34 routing_34,DEFAULT_VEHTYPE,0.94,
11,13.6,-gneE31_0,6.6,0,2.6,82,gneE12_0,85.6,13.57,68.4,757.52,0,0,0,10.71,1,tripinfo_11 routing_11,bus,1,
