id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
5,4.8,-gneE49_0,6.6,0,-0.2,21.2,-gneE48_0,85.6,13.52,16.4,179,0,0,0,3.49,0,tripinfo_5 routing_5,bus,1,
8,8,-gneE26_0,6.6,0,0,26.4,gneE2_0,85.6,13.44,18.4,178.79,0,0,0,4.6,0,tripinfo_8 routing_8,bus,1,
13,12.8,gneE14_0,6.6,0,-0.2,53.2,-gneE46_0,85.6,6.41,40.4,378.79,0,0,0,12.23,1,tripinfo_13 routing_13,bus,1,
3,2.8,gneE3_0,6.6,0,-0.2,55.2,gneE5_0,85.6,13.76,52.4,273.63,21.6,1,0,31.77,1,tripinfo_3 routing_3,bus,1,
7,6.8,-gneE50_0,6.6,0,-0.2,55.2,-gneE14_0,85.6,13.68,48.4,373.42,10,1,0,19.62,1,tripinfo_7 routing_7,bus,1,
53,52.8,gneE41_0,5.1,0,-0.2,62,gneE41_0,89.6,16.07,9.2,84.5,0,0,0,3.85,1,tripinfo_53 routing_53,DEFAULT_VEHTYPE,1.18,
29,28.8,gneE2_0,5.1,0,-0.2,64.4,-gneE6_0,85.6,15.1,35.6,374.92,0,0,0,9.95,1,tripinfo_29 routing_29,DEFAULT_VEHTYPE,1.12,
43,42.8,-gneE46_0,5.1,0,-0.2,74.4,gneE40_0,85.6,12.92,31.6,274.92,0,0,0,8.86,1,tripinfo_43 routing_43,DEFAULT_VEHTYPE,0.95,
6,6,gneE45_0,6.6,0,0,74.8,-gneE38_0,89.6,12.45,68.8,377.42,28,1,0,39.81,1,tripinfo_6 routing_6,bus,1,
25,24.8,gneE52_0,5.1,0,-0.2,81.6,-gneE37_0,89.6,11.55,56.8,571.31,0,0,0,7.62,1,tripinfo_25 routing_25,DEFAULT_VEHTYPE,0.86,
58,58,-gneE44_0,5.1,0,0,83.2,-gneE29_0,85.6,14.94,25.2,280.29,0,0,0,5.81,1,tripinfo_58 routing_58,DEFAULT_VEHTYPE,1.09,
60,60,gneE38_0,5.1,0,0,83.6,gneE40_0,85.6,14.38,23.6,284.5,0,0,0,3.63,1,tripinfo_60 routing_60,DEFAULT_VEHTYPE,1.04,
2,2,gneE32_0,6.6,0,0,84,-gneE33_0,85.6,13.85,82,464.23,32,1,0,46.05,1,tripinfo_2 routing_2,bus,1,
28,28,-gneE2_0,5.1,0,0,92,-gneE26_0,85.6,14.42,64,660.36,0,0,0,15.64,1,tripinfo_28 routing_28,DEFAULT_VEHTYPE,1.05,
35,36,gneE31_0,5.1,0,1,93.6,gneE15_0,85.6,6.17,57.6,275.13,17.6,1,0,39.8,1,tripinfo_35 routing_35,DEFAULT_VEHTYPE,1.16,
48,48,gneE33_0,5.1,0,0,93.6,-gneE41_0,89.6,13.82,45.6,471.31,0,0,0,10.44,1,tripinfo_48 routing_48,DEFAULT_VEHTYPE,1.01,
27,26.8,-gneE37_0,5.1,0,-0.2,95.6,-gneE50_0,85.6,6.03,68.8,378.92,20.8,1,0,40.86,1,tripinfo_27 routing_27,DEFAULT_VEHTYPE,1.03,
